русский,английский,дело в том что,The fact is that
русский,английский,подозрительный,suspicious
английский,русский,abdomen,живот
английский,русский,estate,недвижимость
английский,русский,freeway,Автострада
английский,русский,to get rid of me,избавиться от меня
английский,русский,ridiculous,смешной
английский,русский,wristband,браслет
английский,русский,cabanas,кабинки для переодевания
английский,русский,cough drops,капли от кашля
английский,русский,their mascot allegedly raped that stripper,их талисман якобы изнасиловал эту стриптизершу
английский,русский,tear up,разорвать
английский,русский,booze,выпивка
английский,русский,tears of joy,слезы радости
английский,русский,catch up.,наверстать.
английский,русский,single-handedly prevented a coup,в одиночку предотвратил переворот
английский,русский,we're getting there,мы приближаемся
английский,русский,fatso,толстяк
английский,русский,i'm seeing someone,я встречаюсь с кем-то
английский,русский,buddy / buddies,приятель / приятели
английский,русский,garbage cans,мусорные баки
английский,русский,fart,пердеть
английский,русский,chatty,болтливый
английский,русский,whale,кит
английский,русский,algae,водоросли
английский,русский,pretend,притворяться
английский,русский,mentally challenged,умственно отсталый
английский,русский,sloppy,небрежный
английский,русский,I can afford health insurance,Я могу позволить себе медицинскую страховку
английский,русский,inebriated,нетрезвый
английский,русский,temptress,соблазнительница
английский,русский,boner,стояк
английский,русский,i owe him one,я должен ему один
английский,русский,bedspread,покрывало
английский,русский,no beans,без бобов
английский,русский,some of the pages are faint,некоторые страницы блеклые
английский,русский,breasts enhanced,грудь увеличена
английский,русский,I am making out with new babe,Я целуюсь с новенькой
английский,русский,sort this out,разобраться в этом
английский,русский,to withstand the impact,выдержать удар
английский,русский,consider,рассмотреть возможность
английский,русский,hinge on,зависеть от
английский,русский,regard highly,высоко ценить
английский,русский,make an effort,сделать усилие
английский,русский,keen to take,стремится взять
английский,русский,turns out to be,оказывается
английский,русский,he is certain,он уверен
английский,русский,meanwhile,тем временем
английский,русский,show off,выпендриваться
английский,русский,obvious,очевидный
английский,русский,arrangement,договоренность
английский,русский,chaperone,сопровождающий
английский,русский,realise,понимать
английский,русский,exhausted,измученный
английский,русский,ski slope,лыжный склон
английский,русский,assume,предполагать
английский,русский,refuse,отказаться
английский,русский,persuade,убедить
английский,русский,reach an agreement,договориться
английский,русский,gorgeous,великолепный
английский,русский,adore,обожать
английский,русский,Are you cross about something?,Вы чем-то недовольны?
английский,русский,belly,живот
английский,русский,the forehead,лоб
английский,русский,the chin,подбородок
английский,русский,the chimney,дымоход
английский,русский,the rug,ковер
английский,русский,the stove,плита
английский,русский,the sink,раковина
английский,русский,the crockery,посуда
английский,русский,the plate,тарелка
английский,русский,the pavement,тротуар
английский,русский,strengthen,укреплять
английский,русский,amusement parks,парк развлечений
английский,русский,to get ahead,продвигаться вперед
английский,русский,control the purse strings,контролировать кошелек
английский,русский,I try to put them first.,Я стараюсь поставить их на первое место.
английский,русский,they would only recall the moments we spent together.,"они будут вспоминать только моменты, которые мы провели вместе."
английский,русский,come up with ideas off the top of your head,придумывать идеи из головы
английский,русский,it is worth the effort,это стоит усилий
английский,русский,stretch the truth,преувеличивать
английский,русский,cucumber,огурец
английский,русский,creature,существо
английский,русский,round-shaped flying saucer,круглая летающая тарелка
английский,русский,have knocked me out,вырубили меня
английский,русский,seek counseling,обратиться за консультацией
английский,русский,police precinct,участок полиции
английский,русский,bizarre,причудливый
английский,русский,UFO sighting,Наблюдение НЛО
английский,русский,approaching car,приближающаяся машина
английский,русский,making this up,выдумывая это
английский,русский,I have cereal for breakfast,У меня хлопья на завтрак
английский,русский,porridge,каша
английский,русский,I've never thought about that before.,Я никогда не думал об этом раньше.
английский,русский,with rake,с граблями
английский,русский,fence,забор
английский,русский,stuff,вещи
английский,русский,pathetic,жалкий
английский,русский,dull,скучный
английский,русский,to whisper,шептать
английский,русский,barely,едва
английский,русский,ever so slightly.,чуть-чуть.
английский,русский,wieners,сосиски
английский,русский,to do the laundry,постирать
английский,русский,choke up,засорять
английский,русский,chopped up,нарезанный
английский,русский,deliver me from,избавь меня от
английский,русский,douchebag,ублюдок
английский,русский,to get stabbed in,чтобы получить удар в
русский,английский,связываться по мере надобности,contact as needed
